Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.8134e+01,-0.624,-0.608,-18.6,-18.4
-1.8126e+01,-0.624,-0.632,-18.6,-18.8
-1.8118e+01,-0.616,-0.608,-18.6,-18.4
-1.8111e+01,-0.616,-0.632,-18.6,-18.8
-1.8103e+01,-0.616,-0.608,-18.6,-18.4
-1.8095e+01,-0.616,-0.632,-18.6,-18.8
-1.8088e+01,-0.616,-0.608,-18.6,-18.4
-1.8080e+01,-0.616,-0.632,-18.6,-18.8
-1.8072e+01,-0.616,-0.6,-18.8,-18.4
-1.8065e+01,-0.616,-0.632,-18.8,-18.8
-1.8057e+01,-0.616,-0.608,-18.8,-18.4
-1.8049e+01,-0.616,-0.624,-18.8,-18.8
-1.8041e+01,-0.616,-0.608,-18.8,-18.4
-1.8034e+01,-0.616,-0.624,-18.8,-18.8
-1.8026e+01,-0.616,-0.608,-18.8,-18.4
-1.8018e+01,-0.616,-0.624,-18.8,-19
-1.8011e+01,-0.616,-0.608,-18.8,-18.6
-1.8003e+01,-0.616,-0.624,-18.8,-19
-1.7995e+01,-0.616,-0.6,-18.8,-18.6
-1.7988e+01,-0.616,-0.624,-18.8,-19
-1.7980e+01,-0.616,-0.608,-18.8,-18.6
-1.7972e+01,-0.616,-0.624,-18.8,-19
-1.7965e+01,-0.616,-0.6,-18.8,-18.6
-1.7957e+01,-0.616,-0.624,-18.8,-19
-1.7949e+01,-0.616,-0.6,-18.8,-18.6
-1.7942e+01,-0.616,-0.624,-18.8,-19
-1.7934e+01,-0.616,-0.6,-18.8,-18.6
-1.7926e+01,-0.608,-0.624,-18.8,-19
-1.7919e+01,-0.608,-0.6,-18.8,-18.6
-1.7911e+01,-0.608,-0.624,-18.8,-19
-1.7903e+01,-0.608,-0.6,-18.8,-18.6
-1.7896e+01,-0.608,-0.624,-18.8,-19
-1.7888e+01,-0.608,-0.6,-18.8,-18.6
-1.7880e+01,-0.608,-0.624,-18.8,-19
-1.7873e+01,-0.608,-0.6,-18.8,-18.6
-1.7865e+01,-0.608,-0.624,-18.8,-19
-1.7857e+01,-0.608,-0.6,-18.8,-18.6
-1.7849e+01,-0.608,-0.616,-18.8,-19
-1.7842e+01,-0.608,-0.6,-18.8,-18.6
-1.7834e+01,-0.608,-0.616,-18.8,-19
-1.7826e+01,-0.608,-0.6,-18.8,-18.6
-1.7819e+01,-0.608,-0.616,-18.8,-19
-1.7811e+01,-0.608,-0.6,-18.8,-18.6
-1.7803e+01,-0.608,-0.616,-18.8,-19
-1.7796e+01,-0.608,-0.6,-18.8,-18.6
-1.7788e+01,-0.608,-0.616,-18.8,-19
-1.7780e+01,-0.608,-0.592,-18.8,-18.6
-1.7773e+01,-0.608,-0.624,-18.8,-19
-1.7765e+01,-0.608,-0.592,-18.8,-18.6
-1.7757e+01,-0.608,-0.616,-18.8,-19
-1.7750e+01,-0.608,-0.592,-18.8,-18.6
-1.7742e+01,-0.608,-0.616,-18.8,-19
-1.7734e+01,-0.608,-0.6,-18.8,-18.6
-1.7727e+01,-0.608,-0.616,-18.8,-19
-1.7719e+01,-0.608,-0.6,-18.8,-18.6
-1.7711e+01,-0.608,-0.616,-18.8,-19
-1.7704e+01,-0.608,-0.6,-18.8,-18.8
-1.7696e+01,-0.608,-0.616,-18.8,-19
-1.7688e+01,-0.608,-0.6,-18.8,-18.6
-1.7680e+01,-0.608,-0.616,-18.8,-19
-1.7673e+01,-0.608,-0.6,-18.8,-18.6
-1.7665e+01,-0.608,-0.616,-18.8,-19
-1.7657e+01,-0.608,-0.592,-18.8,-18.8
-1.7650e+01,-0.608,-0.616,-19,-19
-1.7642e+01,-0.608,-0.592,-19,-18.8
-1.7634e+01,-0.608,-0.616,-19,-19.2
-1.7627e+01,-0.608,-0.592,-19,-18.8
-1.7619e+01,-0.608,-0.624,-19,-19.2
-1.7611e+01,-0.608,-0.6,-19,-18.8
-1.7604e+01,-0.608,-0.616,-19,-19.2
-1.7596e+01,-0.608,-0.592,-19,-18.8
-1.7588e+01,-0.608,-0.616,-19,-19.2
-1.7581e+01,-0.608,-0.592,-19,-18.8
-1.7573e+01,-0.608,-0.616,-19,-19.2
-1.7565e+01,-0.608,-0.6,-19,-18.8
-1.7558e+01,-0.608,-0.616,-19,-19.2
-1.7550e+01,-0.608,-0.6,-19,-18.8
-1.7542e+01,-0.608,-0.616,-19,-19.2
-1.7535e+01,-0.608,-0.6,-19,-18.8
-1.7527e+01,-0.608,-0.616,-19,-19.2
-1.7519e+01,-0.608,-0.6,-19,-18.8
-1.7512e+01,-0.608,-0.616,-19,-19.2
-1.7504e+01,-0.608,-0.6,-19,-18.8
-1.7496e+01,-0.608,-0.616,-19,-19.2
-1.7488e+01,-0.608,-0.6,-19,-18.8
-1.7481e+01,-0.608,-0.616,-19,-19.2
-1.7473e+01,-0.608,-0.592,-19,-18.8
-1.7465e+01,-0.608,-0.616,-19,-19.2
-1.7458e+01,-0.608,-0.592,-19,-18.8
-1.7450e+01,-0.608,-0.616,-19,-19.2
-1.7442e+01,-0.608,-0.6,-19,-18.8
-1.7435e+01,-0.608,-0.616,-19,-19.2
-1.7427e+01,-0.608,-0.6,-19,-18.8
-1.7419e+01,-0.608,-0.616,-19,-19.2
-1.7412e+01,-0.608,-0.6,-19,-18.8
-1.7404e+01,-0.608,-0.616,-19,-19.2
-1.7396e+01,-0.608,-0.6,-19,-18.8
-1.7389e+01,-0.608,-0.616,-19,-19.2
-1.7381e+01,-0.608,-0.6,-19,-18.8
-1.7373e+01,-0.608,-0.616,-19,-19.2
-1.7366e+01,-0.608,-0.6,-19,-18.8
-1.7358e+01,-0.608,-0.616,-19,-19.2
-1.7350e+01,-0.608,-0.6,-19,-18.8
-1.7343e+01,-0.608,-0.616,-19,-19.2
-1.7335e+01,-0.608,-0.6,-19,-18.8
-1.7327e+01,-0.608,-0.616,-19,-19.2
-1.7320e+01,-0.608,-0.6,-19,-18.8
-1.7312e+01,-0.608,-0.616,-19,-19.2
-1.7304e+01,-0.608,-0.592,-19,-18.8
-1.7296e+01,-0.608,-0.624,-19,-19.2
-1.7289e+01,-0.608,-0.6,-19,-18.8
-1.7281e+01,-0.608,-0.616,-19,-19.2
-1.7273e+01,-0.608,-0.592,-19.2,-18.8
-1.7266e+01,-0.608,-0.616,-19.2,-19.4
-1.7258e+01,-0.608,-0.6,-19.2,-18.8
-1.7250e+01,-0.608,-0.616,-19.2,-19.4
-1.7243e+01,-0.608,-0.6,-19.2,-18.8
-1.7235e+01,-0.608,-0.616,-19.2,-19.4
-1.7227e+01,-0.608,-0.6,-19.2,-19
-1.7220e+01,-0.608,-0.616,-19.2,-19.4
-1.7212e+01,-0.608,-0.6,-19.2,-18.8
-1.7204e+01,-0.608,-0.616,-19.2,-19.4
-1.7197e+01,-0.608,-0.6,-19.2,-19
-1.7189e+01,-0.608,-0.616,-19.2,-19.4
-1.7181e+01,-0.608,-0.6,-19.2,-19
-1.7174e+01,-0.608,-0.616,-19.2,-19.4
-1.7166e+01,-0.608,-0.6,-19.2,-19
-1.7158e+01,-0.608,-0.616,-19.2,-19.4
-1.7151e+01,-0.608,-0.592,-19.2,-19
-1.7143e+01,-0.608,-0.624,-19.2,-19.4
-1.7135e+01,-0.608,-0.6,-19.2,-19
-1.7127e+01,-0.608,-0.616,-19.2,-19.4
-1.7120e+01,-0.608,-0.6,-19.2,-19
-1.7112e+01,-0.608,-0.616,-19.2,-19.4
-1.7104e+01,-0.608,-0.6,-19.2,-19
-1.7097e+01,-0.608,-0.616,-19.2,-19.4
-1.7089e+01,-0.608,-0.6,-19.2,-19
-1.7081e+01,-0.608,-0.624,-19.2,-19.4
-1.7074e+01,-0.608,-0.6,-19.2,-19
-1.7066e+01,-0.608,-0.624,-19.2,-19.4
-1.7058e+01,-0.608,-0.6,-19.2,-19
-1.7051e+01,-0.608,-0.616,-19.2,-19.4
-1.7043e+01,-0.608,-0.6,-19.2,-19
-1.7035e+01,-0.608,-0.624,-19.2,-19.4
-1.7028e+01,-0.608,-0.6,-19.2,-19
-1.7020e+01,-0.608,-0.624,-19.2,-19.4
-1.7012e+01,-0.608,-0.6,-19.2,-19
-1.7005e+01,-0.608,-0.624,-19.2,-19.4
-1.6997e+01,-0.608,-0.6,-19.2,-19
-1.6989e+01,-0.608,-0.624,-19.2,-19.4
-1.6982e+01,-0.608,-0.6,-19.2,-19
-1.6974e+01,-0.608,-0.624,-19.2,-19.4
-1.6966e+01,-0.608,-0.6,-19.2,-19
-1.6959e+01,-0.608,-0.624,-19.2,-19.4
-1.6951e+01,-0.608,-0.6,-19.2,-19
-1.6943e+01,-0.608,-0.624,-19.2,-19.4
-1.6935e+01,-0.608,-0.6,-19.2,-19
-1.6928e+01,-0.608,-0.624,-19.2,-19.4
-1.6920e+01,-0.608,-0.6,-19.2,-19
-1.6912e+01,-0.608,-0.624,-19.2,-19.4
-1.6905e+01,-0.608,-0.6,-19.2,-19
-1.6897e+01,-0.608,-0.624,-19.2,-19.4
-1.6889e+01,-0.608,-0.6,-19.2,-19.2
-1.6882e+01,-0.608,-0.624,-19.2,-19.6
-1.6874e+01,-0.616,-0.6,-19.4,-19.2
-1.6866e+01,-0.616,-0.624,-19.4,-19.6
-1.6859e+01,-0.616,-0.6,-19.4,-19.2
-1.6851e+01,-0.616,-0.624,-19.4,-19.4
-1.6843e+01,-0.616,-0.6,-19.4,-19.2
-1.6836e+01,-0.616,-0.624,-19.4,-19.6
-1.6828e+01,-0.616,-0.6,-19.4,-19.2
-1.6820e+01,-0.616,-0.624,-19.4,-19.6
-1.6813e+01,-0.616,-0.6,-19.4,-19.2
-1.6805e+01,-0.616,-0.624,-19.4,-19.6
-1.6797e+01,-0.616,-0.6,-19.4,-19.2
-1.6790e+01,-0.616,-0.624,-19.4,-19.6
-1.6782e+01,-0.616,-0.6,-19.4,-19.2
-1.6774e+01,-0.616,-0.624,-19.4,-19.6
-1.6767e+01,-0.616,-0.6,-19.4,-19.2
-1.6759e+01,-0.616,-0.624,-19.4,-19.6
-1.6751e+01,-0.616,-0.608,-19.4,-19.2
-1.6743e+01,-0.616,-0.624,-19.4,-19.6
-1.6736e+01,-0.616,-0.608,-19.4,-19.2
-1.6728e+01,-0.616,-0.624,-19.4,-19.6
-1.6720e+01,-0.616,-0.608,-19.4,-19.2
-1.6713e+01,-0.616,-0.624,-19.4,-19.6
-1.6705e+01,-0.616,-0.6,-19.4,-19.2
-1.6697e+01,-0.616,-0.624,-19.4,-19.6
-1.6690e+01,-0.616,-0.6,-19.4,-19.2
-1.6682e+01,-0.616,-0.624,-19.4,-19.6
-1.6674e+01,-0.616,-0.6,-19.4,-19.2
-1.6667e+01,-0.616,-0.632,-19.4,-19.6
-1.6659e+01,-0.616,-0.608,-19.4,-19.2
-1.6651e+01,-0.616,-0.632,-19.4,-19.6
-1.6644e+01,-0.616,-0.608,-19.4,-19.2
-1.6636e+01,-0.616,-0.624,-19.4,-19.6
-1.6628e+01,-0.616,-0.608,-19.4,-19.2
-1.6621e+01,-0.616,-0.624,-19.4,-19.6
-1.6613e+01,-0.616,-0.608,-19.4,-19.2
-1.6605e+01,-0.616,-0.624,-19.4,-19.6
-1.6598e+01,-0.616,-0.608,-19.4,-19.2
-1.6590e+01,-0.616,-0.624,-19.4,-19.6
-1.6582e+01,-0.616,-0.608,-19.4,-19.2
-1.6575e+01,-0.616,-0.624,-19.4,-19.6
-1.6567e+01,-0.616,-0.608,-19.4,-19.2
-1.6559e+01,-0.616,-0.624,-19.4,-19.6
-1.6551e+01,-0.616,-0.608,-19.4,-19.2
-1.6544e+01,-0.616,-0.632,-19.4,-19.6
-1.6536e+01,-0.616,-0.608,-19.4,-19.2
-1.6528e+01,-0.616,-0.632,-19.4,-19.6
-1.6521e+01,-0.616,-0.608,-19.4,-19.2
-1.6513e+01,-0.616,-0.632,-19.4,-19.6
-1.6505e+01,-0.616,-0.608,-19.4,-19.2
-1.6498e+01,-0.616,-0.632,-19.4,-19.6
-1.6490e+01,-0.616,-0.608,-19.6,-19.2
-1.6482e+01,-0.624,-0.632,-19.6,-19.6
-1.6475e+01,-0.624,-0.608,-19.6,-19.2
-1.6467e+01,-0.624,-0.632,-19.6,-19.6
-1.6459e+01,-0.624,-0.608,-19.6,-19.2
-1.6452e+01,-0.624,-0.632,-19.6,-19.8
-1.6444e+01,-0.624,-0.608,-19.6,-19.4
-1.6436e+01,-0.624,-0.632,-19.6,-19.8
