Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.74E+01,-0.584,-0.568,-9.4,-9.2
-1.74E+01,-0.584,-0.592,-9.4,-9.6
-1.74E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.73E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.73E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.73E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.73E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.73E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.73E+01,-0.584,-0.568,-9.4,-9.2
-1.73E+01,-0.584,-0.592,-9.4,-9.6
-1.72E+01,-0.584,-0.568,-9.4,-9.2
-1.72E+01,-0.584,-0.592,-9.4,-9.6
-1.72E+01,-0.584,-0.568,-9.4,-9.2
-1.72E+01,-0.584,-0.592,-9.4,-9.6
-1.72E+01,-0.584,-0.568,-9.4,-9.2
-1.72E+01,-0.584,-0.592,-9.4,-9.6
-1.72E+01,-0.584,-0.568,-9.4,-9.2
-1.72E+01,-0.584,-0.592,-9.4,-9.8
-1.72E+01,-0.584,-0.568,-9.4,-9.2
-1.72E+01,-0.584,-0.592,-9.4,-9.8
-1.72E+01,-0.584,-0.576,-9.4,-9.2
-1.72E+01,-0.584,-0.592,-9.4,-9.8
-1.72E+01,-0.584,-0.576,-9.4,-9.2
-1.71E+01,-0.584,-0.592,-9.4,-9.8
-1.71E+01,-0.584,-0.576,-9.6,-9.2
-1.71E+01,-0.584,-0.592,-9.6,-9.8
-1.71E+01,-0.584,-0.576,-9.6,-9.2
-1.71E+01,-0.584,-0.592,-9.6,-9.8
-1.71E+01,-0.584,-0.568,-9.6,-9.2
-1.71E+01,-0.584,-0.6,-9.6,-9.8
-1.71E+01,-0.584,-0.576,-9.6,-9.2
-1.71E+01,-0.584,-0.6,-9.6,-9.8
-1.71E+01,-0.584,-0.576,-9.6,-9.4
-1.71E+01,-0.584,-0.592,-9.6,-9.8
-1.71E+01,-0.584,-0.576,-9.6,-9.4
-1.71E+01,-0.584,-0.6,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.70E+01,-0.584,-0.592,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.70E+01,-0.584,-0.6,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.70E+01,-0.584,-0.592,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.70E+01,-0.584,-0.592,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.70E+01,-0.584,-0.6,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.70E+01,-0.584,-0.6,-9.6,-9.8
-1.70E+01,-0.584,-0.576,-9.6,-9.4
-1.69E+01,-0.584,-0.6,-9.6,-9.8
-1.69E+01,-0.584,-0.568,-9.6,-9.4
-1.69E+01,-0.584,-0.6,-9.6,-9.8
-1.69E+01,-0.584,-0.576,-9.6,-9.4
-1.69E+01,-0.584,-0.6,-9.6,-9.8
-1.69E+01,-0.584,-0.576,-9.6,-9.4
-1.69E+01,-0.584,-0.6,-9.6,-9.8
-1.69E+01,-0.584,-0.576,-9.6,-9.4
-1.69E+01,-0.584,-0.6,-9.6,-9.8
-1.69E+01,-0.592,-0.576,-9.6,-9.4
-1.69E+01,-0.592,-0.6,-9.6,-9.8
-1.69E+01,-0.592,-0.576,-9.6,-9.4
-1.69E+01,-0.592,-0.6,-9.6,-9.8
-1.68E+01,-0.592,-0.576,-9.6,-9.4
-1.68E+01,-0.592,-0.6,-9.6,-9.8
-1.68E+01,-0.592,-0.576,-9.6,-9.4
-1.68E+01,-0.592,-0.6,-9.6,-9.8
-1.68E+01,-0.592,-0.576,-9.6,-9.4
-1.68E+01,-0.592,-0.6,-9.6,-9.8
-1.68E+01,-0.592,-0.576,-9.6,-9.4
-1.68E+01,-0.592,-0.6,-9.6,-9.8
-1.68E+01,-0.592,-0.576,-9.6,-9.4
-1.68E+01,-0.592,-0.6,-9.6,-9.8
-1.68E+01,-0.592,-0.576,-9.6,-9.4
-1.68E+01,-0.592,-0.6,-9.8,-9.8
-1.68E+01,-0.592,-0.576,-9.8,-9.4
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.67E+01,-0.592,-0.576,-9.8,-9.4
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.67E+01,-0.592,-0.584,-9.8,-9.6
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.67E+01,-0.592,-0.584,-9.8,-9.4
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.67E+01,-0.592,-0.584,-9.8,-9.6
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.67E+01,-0.592,-0.584,-9.8,-9.6
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.67E+01,-0.592,-0.584,-9.8,-9.6
-1.67E+01,-0.592,-0.6,-9.8,-10
-1.66E+01,-0.592,-0.584,-9.8,-9.6
-1.66E+01,-0.592,-0.6,-9.8,-10
-1.66E+01,-0.592,-0.576,-9.8,-9.6
-1.66E+01,-0.592,-0.6,-9.8,-10
-1.66E+01,-0.592,-0.576,-9.8,-9.6
-1.66E+01,-0.592,-0.608,-9.8,-10
-1.66E+01,-0.592,-0.584,-9.8,-9.6
-1.66E+01,-0.592,-0.608,-9.8,-10
-1.66E+01,-0.592,-0.576,-9.8,-9.6
-1.66E+01,-0.592,-0.6,-9.8,-10
-1.66E+01,-0.592,-0.584,-9.8,-9.6
-1.66E+01,-0.592,-0.6,-9.8,-10
-1.66E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.6,-9.8,-10
-1.65E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.608,-9.8,-10
-1.65E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.6,-9.8,-10
-1.65E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.608,-9.8,-10
-1.65E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.608,-9.8,-10
-1.65E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.608,-9.8,-10
-1.65E+01,-0.592,-0.584,-9.8,-9.6
-1.65E+01,-0.592,-0.608,-9.8,-10
-1.64E+01,-0.592,-0.584,-9.8,-9.6
-1.64E+01,-0.6,-0.608,-9.8,-10
-1.64E+01,-0.6,-0.584,-9.8,-9.6
-1.64E+01,-0.6,-0.608,-9.8,-10
-1.64E+01,-0.6,-0.584,-9.8,-9.6
-1.64E+01,-0.6,-0.608,-9.8,-10.2
-1.64E+01,-0.6,-0.584,-9.8,-9.6
