Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-9.044e+00,-0.004,-0.012,-8.8,-9.2
-9.040e+00,-0.004,0.008,-8.8,-8.6
-9.036e+00,-0.004,-0.012,-9,-9.2
-9.032e+00,-0.004,0.004,-9,-8.6
-9.028e+00,-0.004,-0.012,-9,-9.2
-9.025e+00,-0.004,0.008,-9,-8.6
-9.021e+00,-0,-0.012,-9,-9.2
-9.017e+00,-0.004,0.004,-9,-8.8
-9.013e+00,-0.004,-0.012,-9,-9.2
-9.009e+00,-0.004,0.004,-9,-8.8
-9.005e+00,-0.004,-0.012,-9,-9.2
-9.002e+00,-0,0.004,-9,-8.8
-8.998e+00,-0.004,-0.012,-9,-9.2
-8.994e+00,-0.004,0.004,-9,-8.8
-8.990e+00,-0.004,-0.012,-9,-9.2
-8.986e+00,-0.004,0.004,-9,-8.8
-8.982e+00,-0.004,-0.012,-9,-9.2
-8.978e+00,-0.004,0.004,-9,-8.8
-8.975e+00,-0.004,-0.012,-9,-9.2
-8.971e+00,-0.004,0.004,-9,-8.8
-8.967e+00,-0.004,-0.012,-9,-9.2
-8.963e+00,-0.004,0.004,-9,-8.8
-8.959e+00,-0.004,-0.012,-9,-9.2
-8.955e+00,-0.004,0.004,-9,-8.8
-8.952e+00,-0.004,-0.012,-9,-9.2
-8.948e+00,-0.004,0.004,-9,-8.8
-8.944e+00,-0.004,-0.012,-9,-9.2
-8.940e+00,-0.004,0.004,-9,-8.8
-8.936e+00,-0.004,-0.012,-9,-9.2
-8.932e+00,-0.004,0.004,-9,-8.8
-8.929e+00,-0.004,-0.012,-9,-9.2
-8.925e+00,-0.004,0.008,-9,-8.8
-8.921e+00,-0.004,-0.012,-9,-9.2
-8.917e+00,-0.004,0.004,-9,-8.8
-8.913e+00,-0.004,-0.012,-9,-9.2
-8.909e+00,-0.004,0.004,-9,-8.8
-8.906e+00,-0.004,-0.012,-9,-9.2
-8.902e+00,-0.004,0.008,-9,-8.8
-8.898e+00,-0.004,-0.016,-9,-9.2
-8.894e+00,-0.004,0.008,-9,-8.8
-8.890e+00,-0.004,-0.016,-9,-9.2
-8.886e+00,-0.004,0.004,-9,-8.8
-8.882e+00,-0.004,-0.012,-9,-9.2
-8.879e+00,-0.004,0.008,-9,-8.8
-8.875e+00,-0.004,-0.012,-9,-9.2
-8.871e+00,-0.004,0.004,-9,-8.8
-8.867e+00,-0.004,-0.012,-9.2,-9.4
-8.863e+00,-0.004,0.008,-9,-8.8
-8.859e+00,-0.004,-0.012,-9,-9.4
-8.856e+00,-0,0.004,-9.2,-8.8
-8.852e+00,-0.004,-0.012,-9,-9.2
-8.848e+00,-0.004,0.004,-9.2,-8.8
-8.844e+00,-0.004,-0.012,-9.2,-9.4
-8.840e+00,-0.004,0.004,-9.2,-8.8
-8.836e+00,-0.004,-0.012,-9.2,-9.4
-8.833e+00,-0.008,0.004,-9.2,-9
-8.829e+00,-0.004,-0.012,-9.2,-9.4
-8.825e+00,-0.004,0.004,-9.2,-9
-8.821e+00,-0.004,-0.012,-9.2,-9.4
-8.817e+00,-0.004,0.004,-9.2,-9
-8.813e+00,-0.004,-0.012,-9.2,-9.4
-8.810e+00,-0.004,0.004,-9.2,-9
-8.806e+00,-0.004,-0.012,-9.2,-9.4
-8.802e+00,-0.004,0.004,-9.2,-9
-8.798e+00,-0.004,-0.012,-9.2,-9.4
-8.794e+00,-0.004,0.004,-9.2,-9
-8.790e+00,-0.004,-0.012,-9.2,-9.4
-8.786e+00,-0.004,0.008,-9.2,-9
-8.783e+00,-0.004,-0.012,-9.2,-9.4
-8.779e+00,-0.004,0.004,-9.2,-9
-8.775e+00,-0.004,-0.012,-9.2,-9.4
-8.771e+00,-0.004,0.004,-9.2,-9
-8.767e+00,-0.004,-0.012,-9.2,-9.4
-8.763e+00,-0.004,0.004,-9.2,-9
-8.760e+00,-0.004,-0.012,-9.2,-9.4
-8.756e+00,-0.004,0.004,-9.2,-9
-8.752e+00,-0.004,-0.012,-9.2,-9.4
-8.748e+00,-0.004,0.004,-9.2,-9
-8.744e+00,-0.004,-0.012,-9.2,-9.4
-8.740e+00,-0.004,0.012,-9.2,-9
-8.737e+00,-0.004,-0.02,-9.2,-9.4
-8.733e+00,-0.008,0.008,-9.2,-9
-8.729e+00,-0.004,-0.016,-9.2,-9.4
-8.725e+00,-0.004,0.004,-9.2,-9
-8.721e+00,-0.004,-0.012,-9.2,-9.4
-8.717e+00,-0.004,0.004,-9.2,-9
-8.714e+00,-0.004,-0.012,-9.2,-9.4
-8.710e+00,-0.004,0.004,-9.2,-9
-8.706e+00,-0.004,-0.012,-9.2,-9.4
-8.702e+00,-0.004,0.008,-9.2,-9
-8.698e+00,-0.004,-0.012,-9.2,-9.6
