Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,1.40E+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.61E+01,0.176,0.144,0.028,0.02
-1.61E+01,0.176,0.2,0.03,0.034
-1.61E+01,0.176,0.156,0.028,0.02
-1.60E+01,0.176,0.2,0.028,0.038
-1.60E+01,0.176,0.148,0.026,0.016
-1.60E+01,0.176,0.2,0.028,0.04
-1.60E+01,0.176,0.156,0.028,0.012
-1.60E+01,0.176,0.2,0.028,0.038
-1.60E+01,0.176,0.148,0.03,0.02
-1.60E+01,0.176,0.2,0.028,0.038
-1.60E+01,0.176,0.156,0.028,0.02
-1.60E+01,0.176,0.2,0.028,0.04
-1.60E+01,0.176,0.148,0.028,0.02
-1.60E+01,0.176,0.2,0.028,0.036
-1.60E+01,0.176,0.148,0.028,0.022
-1.60E+01,0.176,0.2,0.03,0.036
-1.59E+01,0.176,0.156,0.028,0.022
-1.59E+01,0.18,0.204,0.028,0.036
-1.59E+01,0.18,0.148,0.028,0.02
-1.59E+01,0.18,0.204,0.028,0.036
-1.59E+01,0.18,0.156,0.03,0.022
