Model,DPO2012,,,
Firmware Version,1.39,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4,,,
Sample Interval,0.00768049,,,
Filter Frequency,14,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.1,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-1.77E+01,-0.024,-0.072,-0.17,-0.39
-1.77E+01,-0.024,0.028,-0.17,0.03
-1.77E+01,-0.024,-0.076,-0.17,-0.37
-1.77E+01,-0.024,0.024,-0.15,0.05
-1.77E+01,-0.024,-0.072,-0.15,-0.35
-1.77E+01,-0.024,0.02,-0.15,0.05
-1.77E+01,-0.024,-0.072,-0.15,-0.35
-1.77E+01,-0.024,0.028,-0.15,0.07
-1.77E+01,-0.024,-0.076,-0.17,-0.35
-1.77E+01,-0.024,0.02,-0.19,0.03
-1.76E+01,-0.024,-0.072,-0.19,-0.41
-1.76E+01,-0.024,0.028,-0.19,0.01
-1.76E+01,-0.024,-0.076,-0.19,-0.39
-1.76E+01,-0.024,0.02,-0.19,0.01
-1.76E+01,-0.024,-0.068,-0.19,-0.39
-1.76E+01,-0.024,0.028,-0.19,0.01
-1.76E+01,-0.024,-0.068,-0.21,-0.41
-1.76E+01,-0.024,0.016,-0.21,0.01
-1.76E+01,-0.024,-0.076,-0.23,-0.43
-1.76E+01,-0.024,0.028,-0.23,-0.03
-1.76E+01,-0.024,-0.072,-0.25,-0.45
-1.76E+01,-0.024,0.024,-0.25,-0.05
-1.76E+01,-0.024,-0.076,-0.25,-0.45
-1.75E+01,-0.024,0.024,-0.25,-0.05
-1.75E+01,-0.024,-0.072,-0.25,-0.43
-1.75E+01,-0.024,0.028,-0.25,-0.03
-1.75E+01,-0.024,-0.076,-0.25,-0.45
-1.75E+01,-0.024,0.02,-0.25,-0.03
-1.75E+01,-0.024,-0.072,-0.23,-0.45
-1.75E+01,-0.024,0.028,-0.23,-0.03
-1.75E+01,-0.024,-0.076,-0.21,-0.41
-1.75E+01,-0.024,0.02,-0.21,-0.00999999
-1.75E+01,-0.024,-0.076,-0.21,-0.41
-1.75E+01,-0.024,0.028,-0.19,0.01
-1.75E+01,-0.024,-0.072,-0.19,-0.39
-1.75E+01,-0.024,0.02,-0.17,0.03
-1.74E+01,-0.024,-0.072,-0.17,-0.37
-1.74E+01,-0.02,0.024,-0.17,0.03
-1.74E+01,-0.02,-0.068,-0.17,-0.35
-1.74E+01,-0.02,0.028,-0.17,0.03
-1.74E+01,-0.02,-0.076,-0.15,-0.35
-1.74E+01,-0.02,0.024,-0.15,0.05
-1.74E+01,-0.02,-0.068,-0.15,-0.35
-1.74E+01,-0.02,0.028,-0.15,0.05
-1.74E+01,-0.02,-0.076,-0.15,-0.35
-1.74E+01,-0.02,0.02,-0.15,0.05
