Model,DPO2012
Firmware Version,1.39

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.00384025,,,
Filter Frequency,1.4e+06,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.05,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.272e+00,0.218,0.188,0.368,0.364
-8.268e+00,0.218,0.242,0.368,0.376
-8.264e+00,0.218,0.198,0.368,0.364
-8.260e+00,0.218,0.24,0.372,0.376
-8.257e+00,0.218,0.198,0.372,0.364
-8.253e+00,0.218,0.236,0.372,0.38
-8.249e+00,0.218,0.192,0.372,0.364
-8.245e+00,0.218,0.242,0.372,0.38
-8.241e+00,0.218,0.19,0.376,0.36
-8.237e+00,0.218,0.244,0.372,0.384
-8.233e+00,0.218,0.2,0.372,0.364
-8.230e+00,0.218,0.232,0.372,0.384
-8.226e+00,0.218,0.2,0.372,0.368
-8.222e+00,0.218,0.24,0.372,0.38
-8.218e+00,0.218,0.192,0.372,0.368
-8.214e+00,0.218,0.242,0.376,0.384
-8.210e+00,0.218,0.192,0.376,0.368
-8.207e+00,0.218,0.244,0.376,0.384
-8.203e+00,0.218,0.196,0.376,0.368
-8.199e+00,0.218,0.238,0.376,0.384
-8.195e+00,0.218,0.2,0.376,0.372
-8.191e+00,0.218,0.24,0.376,0.384
-8.187e+00,0.218,0.192,0.376,0.372
-8.184e+00,0.218,0.24,0.376,0.384
-8.180e+00,0.218,0.204,0.38,0.372
-8.176e+00,0.218,0.234,0.38,0.384
-8.172e+00,0.22,0.192,0.38,0.372
-8.168e+00,0.218,0.244,0.38,0.384
-8.164e+00,0.22,0.198,0.38,0.372
-8.161e+00,0.218,0.24,0.38,0.388
-8.157e+00,0.22,0.2,0.38,0.376
-8.153e+00,0.22,0.238,0.38,0.388
-8.149e+00,0.22,0.2,0.38,0.376
-8.145e+00,0.22,0.24,0.38,0.388
-8.141e+00,0.22,0.192,0.384,0.376
-8.137e+00,0.22,0.244,0.38,0.388
-8.134e+00,0.22,0.198,0.384,0.376
-8.130e+00,0.22,0.238,0.384,0.392
-8.126e+00,0.22,0.2,0.384,0.376
-8.122e+00,0.22,0.238,0.384,0.388
-8.118e+00,0.22,0.2,0.384,0.38
-8.114e+00,0.22,0.242,0.388,0.392
-8.111e+00,0.22,0.192,0.384,0.38
-8.107e+00,0.22,0.246,0.384,0.392
-8.103e+00,0.22,0.202,0.384,0.38
-8.099e+00,0.22,0.236,0.388,0.396
-8.095e+00,0.22,0.194,0.388,0.38
-8.091e+00,0.22,0.244,0.388,0.392
-8.088e+00,0.22,0.2,0.388,0.38
-8.084e+00,0.22,0.242,0.388,0.396
-8.080e+00,0.22,0.202,0.388,0.376
-8.076e+00,0.22,0.238,0.388,0.4
-8.072e+00,0.22,0.194,0.388,0.372
-8.068e+00,0.22,0.244,0.392,0.4
-8.065e+00,0.22,0.192,0.388,0.384
-8.061e+00,0.22,0.244,0.392,0.4
-8.057e+00,0.22,0.202,0.392,0.384
-8.053e+00,0.22,0.244,0.392,0.396
-8.049e+00,0.22,0.2,0.392,0.384
-8.045e+00,0.22,0.24,0.392,0.396
-8.041e+00,0.22,0.196,0.392,0.384
-8.038e+00,0.22,0.244,0.392,0.4
-8.034e+00,0.222,0.192,0.392,0.384
-8.030e+00,0.22,0.246,0.392,0.4
-8.026e+00,0.22,0.202,0.392,0.388
-8.022e+00,0.22,0.238,0.396,0.4
-8.018e+00,0.222,0.202,0.392,0.388
-8.015e+00,0.222,0.244,0.396,0.4
-8.011e+00,0.222,0.196,0.396,0.388
-8.007e+00,0.222,0.244,0.396,0.4
-8.003e+00,0.222,0.194,0.396,0.388
-7.999e+00,0.222,0.246,0.396,0.4
-7.995e+00,0.222,0.194,0.396,0.388
-7.992e+00,0.222,0.246,0.396,0.404
-7.988e+00,0.222,0.202,0.396,0.392
-7.984e+00,0.222,0.244,0.396,0.404
-7.980e+00,0.222,0.2,0.4,0.392
-7.976e+00,0.222,0.244,0.4,0.404
-7.972e+00,0.222,0.202,0.396,0.392
-7.969e+00,0.222,0.242,0.4,0.404
-7.965e+00,0.222,0.194,0.4,0.392
-7.961e+00,0.222,0.246,0.4,0.408
-7.957e+00,0.222,0.2,0.4,0.396
-7.953e+00,0.222,0.242,0.4,0.408
-7.949e+00,0.222,0.2,0.404,0.396
-7.945e+00,0.222,0.242,0.4,0.408
-7.942e+00,0.222,0.202,0.404,0.396
-7.938e+00,0.222,0.244,0.404,0.412
-7.934e+00,0.01,-0.016,0.4,0.372
-7.930e+00,0.01,0.236,0.384,0.408
-7.926e+00,0.012,-0.016,0.368,0.34
-7.922e+00,0.012,0.036,0.356,0.38
-7.919e+00,0.012,-0.01,0.34,0.308
-7.915e+00,0.012,0.03,0.324,0.356
